"GBA-Nationaliteitentabel (tabel 32)",,"GBA-Landentabel (tabel 34)",,"Landnaam in xpert burgerzaken","5. Afstamming uit landeninformatie","ID afstamming","10. Nationaliteit uit landeninformatie","ID Nationaliteit uit landeninformatie","6. Naam uit landeninformatie","ID Naam uit landeninformatie","8. Huwelijk uit landeninformatie","ID Huwelijk uit landeninformatie","11.Legalisatie","ID Legalisatie","4.Meerderjarigheid","ID Meerderjarigheid","7.Overlijden","ID Overlijden","9.Nationaliteitswetten","ID Nationaliteitswetten","13 ambassades","ID ambassades",
"Code","Omschrijving","Code","Omschrijving",,"url","ID","url","ID Nationaliteit uit landeninformatie","url","id ",,"id  ",,"id  ",,,,,,,,,
48,"Myanmarese",5047,"Myanmar","Birma (Myanmar)","http://portal.xpertburgerzaken.nl/doc/357253",357253,"http://portal.xpertburgerzaken.nl/doc/266006",266006,"http://portal.xpertburgerzaken.nl/doc/357269",357269,"http://portal.xpertburgerzaken.nl/doc/357279",357279,"http://portal.xpertburgerzaken.nl/doc/326485",326485,"http://portal.xpertburgerzaken.nl/doc/266004",266004,"http://portal.xpertburgerzaken.nl/doc/266008",266008,"http://portal.xpertburgerzaken.nl/doc/269910",269910,"http://portal.xpertburgerzaken.nl/doc/338926",338926,
252,"Boliviaanse",6015,"Bolivia","Bolivia","http://portal.xpertburgerzaken.nl/doc/352887",352887,"http://portal.xpertburgerzaken.nl/doc/266019",266019,"http://portal.xpertburgerzaken.nl/doc/352904",352904,"http://portal.xpertburgerzaken.nl/doc/352914",352914,"http://portal.xpertburgerzaken.nl/doc/310785",310785,"http://portal.xpertburgerzaken.nl/doc/266017",266017,"http://portal.xpertburgerzaken.nl/doc/266021",266021,"http://portal.xpertburgerzaken.nl/doc/269997",269997,"http://portal.xpertburgerzaken.nl/doc/338927",338927,
29,"Burger van Bosnië-Herzegovina",6065,"Bosnië-Herzegovina","Bosnië-Herzegovina","http://portal.xpertburgerzaken.nl/doc/352963",352963,"http://portal.xpertburgerzaken.nl/doc/266034",266034,"http://portal.xpertburgerzaken.nl/doc/352979",352979,"http://portal.xpertburgerzaken.nl/doc/352989",352989,"http://portal.xpertburgerzaken.nl/doc/310790",310790,"http://portal.xpertburgerzaken.nl/doc/266032",266032,"http://portal.xpertburgerzaken.nl/doc/266036",266036,"http://portal.xpertburgerzaken.nl/doc/270064",270064,"http://portal.xpertburgerzaken.nl/doc/338928",338928,
105,"Botswaanse",5011,"Botswana","Botswana","http://portal.xpertburgerzaken.nl/doc/353008",353008,"http://portal.xpertburgerzaken.nl/doc/266047",266047,"http://portal.xpertburgerzaken.nl/doc/353024",353024,"http://portal.xpertburgerzaken.nl/doc/353034",353034,"http://portal.xpertburgerzaken.nl/doc/310793",310793,"http://portal.xpertburgerzaken.nl/doc/266045",266045,"http://portal.xpertburgerzaken.nl/doc/266049",266049,"http://portal.xpertburgerzaken.nl/doc/270150",270150,"http://portal.xpertburgerzaken.nl/doc/338929",338929,
253,"Braziliaanse",6008,"Brazilië","Brazilië","http://portal.xpertburgerzaken.nl/doc/353052",353052,"http://portal.xpertburgerzaken.nl/doc/266061",266061,"http://portal.xpertburgerzaken.nl/doc/353068",353068,"http://portal.xpertburgerzaken.nl/doc/353078",353078,"http://portal.xpertburgerzaken.nl/doc/310796",310796,"http://portal.xpertburgerzaken.nl/doc/266059",266059,"http://portal.xpertburgerzaken.nl/doc/266063",266063,"http://portal.xpertburgerzaken.nl/doc/270182",270182,"http://portal.xpertburgerzaken.nl/doc/338930",338930,
304,"Bruneise",5042,"Brunei","Brunei","http://portal.xpertburgerzaken.nl/doc/353096",353096,"http://portal.xpertburgerzaken.nl/doc/266074",266074,"http://portal.xpertburgerzaken.nl/doc/353113",353113,"http://portal.xpertburgerzaken.nl/doc/353123",353123,"http://portal.xpertburgerzaken.nl/doc/310804",310804,"http://portal.xpertburgerzaken.nl/doc/266072",266072,"http://portal.xpertburgerzaken.nl/doc/266076",266076,"http://portal.xpertburgerzaken.nl/doc/270222",270222,"http://portal.xpertburgerzaken.nl/doc/338931",338931,
53,"Bulgaarse",7024,"Bulgarije","Bulgarije","http://portal.xpertburgerzaken.nl/doc/353146",353146,"http://portal.xpertburgerzaken.nl/doc/266087",266087,"http://portal.xpertburgerzaken.nl/doc/353163",353163,"http://portal.xpertburgerzaken.nl/doc/353173",353173,"http://portal.xpertburgerzaken.nl/doc/310807",310807,"http://portal.xpertburgerzaken.nl/doc/266085",266085,"http://portal.xpertburgerzaken.nl/doc/266089",266089,"http://portal.xpertburgerzaken.nl/doc/270244",270244,"http://portal.xpertburgerzaken.nl/doc/338932",338932,
106,"Burger van Burkina Faso",5096,"Burkina Faso","Burkina Faso","http://portal.xpertburgerzaken.nl/doc/353191",353191,"http://portal.xpertburgerzaken.nl/doc/266100",266100,"http://portal.xpertburgerzaken.nl/doc/353207",353207,"http://portal.xpertburgerzaken.nl/doc/353217",353217,"http://portal.xpertburgerzaken.nl/doc/310810",310810,"http://portal.xpertburgerzaken.nl/doc/266098",266098,"http://portal.xpertburgerzaken.nl/doc/266102",266102,"http://portal.xpertburgerzaken.nl/doc/270363",270363,"http://portal.xpertburgerzaken.nl/doc/338933",338933,
104,"Burundische",6001,"Burundi","Burundi","http://portal.xpertburgerzaken.nl/doc/353246",353246,"http://portal.xpertburgerzaken.nl/doc/266113",266113,"http://portal.xpertburgerzaken.nl/doc/353262",353262,"http://portal.xpertburgerzaken.nl/doc/353272",353272,"http://portal.xpertburgerzaken.nl/doc/310814",310814,"http://portal.xpertburgerzaken.nl/doc/266111",266111,"http://portal.xpertburgerzaken.nl/doc/266115",266115,"http://portal.xpertburgerzaken.nl/doc/270677",270677,"http://portal.xpertburgerzaken.nl/doc/338934",338934,
305,"Kambodjaanse",6031,"Kambodja","Cambodja","http://portal.xpertburgerzaken.nl/doc/353291",353291,"http://portal.xpertburgerzaken.nl/doc/266126",266126,"http://portal.xpertburgerzaken.nl/doc/353307",353307,"http://portal.xpertburgerzaken.nl/doc/353317",353317,"http://portal.xpertburgerzaken.nl/doc/326486",326486,"http://portal.xpertburgerzaken.nl/doc/266124",266124,"http://portal.xpertburgerzaken.nl/doc/266128",266128,"http://portal.xpertburgerzaken.nl/doc/275559",275559,"http://portal.xpertburgerzaken.nl/doc/338935",338935,
204,"Canadese",5001,"Canada","Canada","http://portal.xpertburgerzaken.nl/doc/360739",360739,"http://portal.xpertburgerzaken.nl/doc/347651",347651,"http://portal.xpertburgerzaken.nl/doc/360756",360756,"http://portal.xpertburgerzaken.nl/doc/360766",360766,"http://portal.xpertburgerzaken.nl/doc/310816",310816,"http://portal.xpertburgerzaken.nl/doc/266137",266137,"http://portal.xpertburgerzaken.nl/doc/266141",266141,"http://portal.xpertburgerzaken.nl/doc/270803",270803,"http://portal.xpertburgerzaken.nl/doc/338936",338936,
108,"Centrafrikaanse",9086,"Centrafrika","Centraal-Afrikaanse Republiek","http://portal.xpertburgerzaken.nl/doc/353335",353335,"http://portal.xpertburgerzaken.nl/doc/266152",266152,"http://portal.xpertburgerzaken.nl/doc/353351",353351,"http://portal.xpertburgerzaken.nl/doc/353361",353361,"http://portal.xpertburgerzaken.nl/doc/310822",310822,"http://portal.xpertburgerzaken.nl/doc/266150",266150,"http://portal.xpertburgerzaken.nl/doc/266154",266154,"http://portal.xpertburgerzaken.nl/doc/270918",270918,"http://portal.xpertburgerzaken.nl/doc/338937",338937,
306,"Srilankaanse",7033,"Sri Lanka","Ceylon (Sri Lanka) en Sri Lanka (Ceylon)","http://portal.xpertburgerzaken.nl/doc/359170",359170,"http://portal.xpertburgerzaken.nl/doc/330198",330198,"http://portal.xpertburgerzaken.nl/doc/359186",359186,"http://portal.xpertburgerzaken.nl/doc/359196",359196,"http://portal.xpertburgerzaken.nl/doc/311253",311253,"http://portal.xpertburgerzaken.nl/doc/267820",267820,"http://portal.xpertburgerzaken.nl/doc/267824",267824,"http://portal.xpertburgerzaken.nl/doc/281351",281351,"http://portal.xpertburgerzaken.nl/doc/339827",339827,
254,"Chileense",5021,"Chili","Chili","http://portal.xpertburgerzaken.nl/doc/353379",353379,"http://portal.xpertburgerzaken.nl/doc/266167",266167,"http://portal.xpertburgerzaken.nl/doc/353395",353395,"http://portal.xpertburgerzaken.nl/doc/353405",353405,"http://portal.xpertburgerzaken.nl/doc/310826",310826,"http://portal.xpertburgerzaken.nl/doc/266165",266165,"http://portal.xpertburgerzaken.nl/doc/266169",266169,"http://portal.xpertburgerzaken.nl/doc/271055",271055,"http://portal.xpertburgerzaken.nl/doc/338938",338938,
307,"Chinese",6022,"China","China (Volksrepubliek) en Volksrepubliek China (China)","http://portal.xpertburgerzaken.nl/doc/353423",353423,"http://portal.xpertburgerzaken.nl/doc/330229",330229,"http://portal.xpertburgerzaken.nl/doc/353439",353439,"http://portal.xpertburgerzaken.nl/doc/353449",353449,"http://portal.xpertburgerzaken.nl/doc/310828",310828,"http://portal.xpertburgerzaken.nl/doc/266178",266178,"http://portal.xpertburgerzaken.nl/doc/266182",266182,"http://portal.xpertburgerzaken.nl/doc/271081",271081,"http://portal.xpertburgerzaken.nl/doc/338939",338939,
255,"Colombiaanse",5033,"Colombia","Colombia","http://portal.xpertburgerzaken.nl/doc/353467",353467,"http://portal.xpertburgerzaken.nl/doc/266193",266193,"http://portal.xpertburgerzaken.nl/doc/353484",353484,"http://portal.xpertburgerzaken.nl/doc/353494",353494,"http://portal.xpertburgerzaken.nl/doc/310834",310834,"http://portal.xpertburgerzaken.nl/doc/266191",266191,"http://portal.xpertburgerzaken.nl/doc/266195",266195,"http://portal.xpertburgerzaken.nl/doc/271108",271108,"http://portal.xpertburgerzaken.nl/doc/338940",338940,
,,,,"Comoren","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt","nvt",,,
110,"Kongolese",9008,"Kongo","Congo (Brazzaville)","http://portal.xpertburgerzaken.nl/doc/353512",353512,"http://portal.xpertburgerzaken.nl/doc/266206",266206,"http://portal.xpertburgerzaken.nl/doc/353528",353528,"http://portal.xpertburgerzaken.nl/doc/353538",353538,"http://portal.xpertburgerzaken.nl/doc/310840",310840,"http://portal.xpertburgerzaken.nl/doc/266204",266204,"http://portal.xpertburgerzaken.nl/doc/266208",266208,"http://portal.xpertburgerzaken.nl/doc/326601",326601,"http://portal.xpertburgerzaken.nl/doc/338941",338941,
451,"Zaïrese (Congolese)",6069,"Democratische Republiek Congo","Congo (Democratiche Republiek Congo) (voormalig Zaïre) en Zaïre (Democratische Republiek Congo)","http://portal.xpertburgerzaken.nl/doc/353700",353700,"http://portal.xpertburgerzaken.nl/doc/266262",266262,"http://portal.xpertburgerzaken.nl/doc/353716",353716,"http://portal.xpertburgerzaken.nl/doc/353726",353726,"http://portal.xpertburgerzaken.nl/doc/310854",310854,"http://portal.xpertburgerzaken.nl/doc/266260",266260,"http://portal.xpertburgerzaken.nl/doc/266264",266264,"http://portal.xpertburgerzaken.nl/doc/271595",271595,"http://portal.xpertburgerzaken.nl/doc/339387",339387,
205,"Costaricaanse",7007,"Costa Rica","Costa Rica","http://portal.xpertburgerzaken.nl/doc/353556",353556,"http://portal.xpertburgerzaken.nl/doc/266221",266221,"http://portal.xpertburgerzaken.nl/doc/353573",353573,"http://portal.xpertburgerzaken.nl/doc/353583",353583,"http://portal.xpertburgerzaken.nl/doc/310844",310844,"http://portal.xpertburgerzaken.nl/doc/266219",266219,"http://portal.xpertburgerzaken.nl/doc/266223",266223,"http://portal.xpertburgerzaken.nl/doc/271492",271492,"http://portal.xpertburgerzaken.nl/doc/338942",338942,
206,"Cubaanse",5006,"Cuba","Cuba","http://portal.xpertburgerzaken.nl/doc/360694",360694,"http://portal.xpertburgerzaken.nl/doc/266234",266234,"http://portal.xpertburgerzaken.nl/doc/360711",360711,"http://portal.xpertburgerzaken.nl/doc/360721",360721,"http://portal.xpertburgerzaken.nl/doc/310846",310846,"http://portal.xpertburgerzaken.nl/doc/266232",266232,"http://portal.xpertburgerzaken.nl/doc/266236",266236,"http://portal.xpertburgerzaken.nl/doc/271521",271521,"http://portal.xpertburgerzaken.nl/doc/338943",338943,
,,,,"Curaçao","http://portal.xpertburgerzaken.nl/doc/353612",353612,"http://portal.xpertburgerzaken.nl/doc/321319",321319,"http://portal.xpertburgerzaken.nl/doc/353628",353628,"http://portal.xpertburgerzaken.nl/doc/353638",353638,"http://portal.xpertburgerzaken.nl/doc/321318",321318,"http://portal.xpertburgerzaken.nl/doc/321317",321317,"http://portal.xpertburgerzaken.nl/doc/321321",321321,"http://portal.xpertburgerzaken.nl/doc/326483",326483,,,
308,"Cyprische",5040,"Cyprus","Cyprus","http://portal.xpertburgerzaken.nl/doc/353656",353656,"http://portal.xpertburgerzaken.nl/doc/266247",266247,"http://portal.xpertburgerzaken.nl/doc/353672",353672,"http://portal.xpertburgerzaken.nl/doc/353682",353682,"http://portal.xpertburgerzaken.nl/doc/326213",326213,"http://portal.xpertburgerzaken.nl/doc/266245",266245,"http://portal.xpertburgerzaken.nl/doc/266249",266249,"http://portal.xpertburgerzaken.nl/doc/271553",271553,"http://portal.xpertburgerzaken.nl/doc/339384",339384,
329,"Noordkoreaanse",6049,"Noordkorea","Democratische Volksrepubliek Noord-Korea","http://portal.xpertburgerzaken.nl/doc/357646",357646,"http://portal.xpertburgerzaken.nl/doc/267377",267377,"http://portal.xpertburgerzaken.nl/doc/357662",357662,"http://portal.xpertburgerzaken.nl/doc/357672",357672,"http://portal.xpertburgerzaken.nl/doc/311140",311140,"http://portal.xpertburgerzaken.nl/doc/267375",267375,"http://portal.xpertburgerzaken.nl/doc/267379",267379,"http://portal.xpertburgerzaken.nl/doc/278863",278863,"http://portal.xpertburgerzaken.nl/doc/339711",339711,
54,"Deense",5015,"Denemarken","Denemarken","http://portal.xpertburgerzaken.nl/doc/353751",353751,"http://portal.xpertburgerzaken.nl/doc/266276",266276,"http://portal.xpertburgerzaken.nl/doc/353768",353768,"http://portal.xpertburgerzaken.nl/doc/353778",353778,"http://portal.xpertburgerzaken.nl/doc/310857",310857,"http://portal.xpertburgerzaken.nl/doc/266274",266274,"http://portal.xpertburgerzaken.nl/doc/266278",266278,"http://portal.xpertburgerzaken.nl/doc/271857",271857,"http://portal.xpertburgerzaken.nl/doc/339390",339390,
115,"Djiboutiaanse",9087,"Djibouti","Djibouti","http://portal.xpertburgerzaken.nl/doc/353800",353800,"http://portal.xpertburgerzaken.nl/doc/266289",266289,"http://portal.xpertburgerzaken.nl/doc/353816",353816,"http://portal.xpertburgerzaken.nl/doc/353826",353826,"http://portal.xpertburgerzaken.nl/doc/310860",310860,"http://portal.xpertburgerzaken.nl/doc/266287",266287,"http://portal.xpertburgerzaken.nl/doc/266291",266291,"http://portal.xpertburgerzaken.nl/doc/271949",271949,"http://portal.xpertburgerzaken.nl/doc/339393",339393,
