gem.code;Naam;Adres;Postcode;Plaats
823;Oirschot;Postbus 11;5688 ZG;Oirschot
824;Oisterwijk;Postbus 10101;5060 GA;Oisterwijk
1895;Oldambt;Postbus 175;9670 AD;Winschoten
269;Oldebroek;Postbus 2;8096 ZG;Oldebroek
173;Oldenzaal;Postbus 354;7570 AJ;Oldenzaal
1773;Olst-Wijhe;Postbus 23;8130 AA;Wijhe
175;Ommen;Postbus 500;7770 BA;Hardenberg
881;Onderbanken;Postbus 1090;6450 CB;Schinveld
1586;Oost Gelre;Postbus 17;7130 AA;Lichtenvoorde
826;Oosterhout;Postbus 10150;4900 GB;Oosterhout
85;Ooststellingwerf;Postbus 38;8430 AA;Oosterwolde
431;Oostzaan;Postbus 20;1530 AA;Wormer
432;Opmeer;Postbus 199;1715 ZK;Spanbroek
86;Opsterland;Postbus 10000;9244 ZP;Beetsterzwaag
828;Oss;Postbus 5;5340 BA;Oss
584;Oud-Beijerland;Postbus 2003;3260 EA;Oud-Beijerland
1509;Oude IJsselstreek;Postbus 42;7080 AA;Gendringen
437;Ouder-Amstel;Postbus 35;1190 AA;Ouderkerk aan de Amstel
589;Oudewater;Postbus 100;3420 DC;Oudewater
1734;Overbetuwe;Postbus 11;6660 AA;Elst
590;Papendrecht;Postbus 11;3350 AA;Papendrecht
1894;Peel en Maas;Postbus 7088;5980 AB;Panningen
765;Pekela;Postbus 20000;9665 ZM;Oude Pekela
1926;Pijnacker-Nootdorp;Postbus 1;2640 AA;Pijnacker
439;Purmerend;Postbus 15;1440 AA;Purmerend
273;Putten;Postbus 400;3880 AK;Putten
177;Raalte;Postbus 140;8100 AC;Raalte
1999;Registratie Niet-Ingezetenen (RNI);Postbus 10451;2501 HL;'s-Gravenhage
703;Reimerswaal;Postbus 70;4416 ZH;Kruiningen
274;Renkum;Postbus 9100;6860 HA;Oosterbeek
339;Renswoude;Postbus 8;3927 ZL;Renswoude
1667;Reusel-De Mierden;Postbus 11;5540 AA;Reusel
275;Rheden;Postbus 9110;6994 ZJ;De Steeg
340;Rhenen;Postbus 201;3910 AE;Rhenen
597;Ridderkerk;Postbus 271;2980 AG;Ridderkerk
196;Rijnwaarden;Postbus 49;6916 ZG;Tolkamer
1742;Rijssen-Holten;Postbus 244;7460 AE;Rijssen
603;Rijswijk;Postbus 5305;2280 HH;Rijswijk
