"cbscode","gemeente","adres","pc","plaats"
1509,Oude IJsselstreek,Postbus 42,"7080AA",Gendringen
1525,Teylingen,Postbus 149,"2215ZJ",Voorhout
1581,Utrechtse Heuvelrug,Postbus 200,"3940AE",Doorn
1586,Oost Gelre,Postbus 17,"7130AA",Lichtenvoorde
1598,Koggenland,Postbus 21,"1633ZG",Avenhorn
1621,Lansingerland,Postbus 1,"2650AA",Berkel en Rodenrijs
1640,Leudal,Postbus 3008,"6093ZG",Heythuysen
1641,Maasgouw,Postbus 7000,"6050AA",Maasbracht
1652,Gemert-Bakel,Postbus 10000,"5420DA",Gemert
1655,Halderberge,Postbus 5,"4730AA",Oudenbosch
1658,Heeze-Leende,Postbus 10000,"5590GA",Heeze
1659,Laarbeek,Postbus 190,"5740AD",Beek en Donk
1667,Reusel-De Mierden,Postbus 11,"5540AA",Reusel
1669,Roerdalen,Postbus 6099,"6077ZH",St. Odiliënberg
1674,Roosendaal,Postbus 5000,"4700KA",Roosendaal
1676,Schouwen-Duiveland,Postbus 5555,"4300JA",Zierikzee
1680,Aa en Hunze,Postbus 93,"9460AB",Gieten
1681,Borger-Odoorn,Postbus 3,"7875ZG",Exloo
1690,De Wolden,Postbus 20,"7920AA",Zuidwolde
1695,Noord-Beveland,Postbus 3,"4490AA",Wissenkerke
1696,Wijdemeren,Postbus 190,"1230AD",Loosdrecht
1699,Noordenveld,Postbus 109,"9300AC",Roden
1700,Twenterand,Postbus 67,"7670AB",Vriezenveen
1701,Westerveld,Postbus 50,"7970AB",Havelte
1705,Lingewaard,Postbus 15,"6680AA",Bemmel
1706,Cranendonck,Postbus 2090,"6020AB",Budel
1708,Steenwijkerland,Postbus 162,"8330AD",Steenwijk
1709,Moerdijk,Postbus 4,"4760AA",Zevenbergen
1711,Echt-Susteren,Postbus 450,"6100AL",Echt
1714,Sluis,Postbus 27,"4500AA",Oostburg
1719,Drimmelen,Postbus 19,"4920AA",Made
1721,Bernheze,Postbus 19,"5384ZG",Heesch
1723,Alphen-Chaam,Postbus 3,"5130AA",Alphen
1724,Bergeijk,Postbus 10000,"5570GA",Bergeijk
1728,Bladel,Postbus 11,"5530AA",Bladel
1729,Gulpen-Wittem,Postbus 56,"6270AB",Gulpen
1730,Tynaarlo,Postbus 5,"9480AA",Vries
1731,Midden-Drenthe,Postbus 24,"9410AA",Beilen
1734,Overbetuwe,Postbus 11,"6660AA",Elst
1735,Hof van Twente,Postbus 54,"7470AB",Goor
1740,Neder-Betuwe,Postbus 20,"4043ZG",Opheusden
1742,Rijssen-Holten,Postbus 244,"7460AE",Rijssen
1771,Geldrop-Mierlo,Postbus 10101,"5660GA",Geldrop
1773,Olst-Wijhe,Postbus 23,"8130AA",Wijhe
1774,Dinkelland,Postbus 11,"7590AA",Denekamp
1783,Westland,Postbus 150,"2670AD",Naaldwijk
1842,Midden-Delfland,Postbus  1,"2636ZG",Schipluiden
1859,Berkelland,Postbus 200,"7270HA",Borculo
1876,Bronckhorst,Postbus 200,"7255ZJ",Hengelo (Gld)
1883,Sittard-Geleen,Postbus 18,"6130AA",Sittard
1884,Kaag en Braassem,Postbus 1,"2370AA",Roelofarendsveen
1891,Dantumadiel,Postbus 22,"9104ZG",Damwâld
1892,Zuidplas,Postbus 100,"2910AC",Nieuwerkerk aan den IJssel
1894,Peel en Maas,Postbus 7088,"5980AB",Panningen
1895,Oldambt,Postbus 175,"9670AD",Winschoten
1896,Zwartewaterland,Postbus 23,"8060AA",Hasselt
1900,Súdwest-Fryslân,Postbus 10000,"8600HA",Sneek
1901,Bodegraven-Reeuwijk,Postbus 401,"2410AK",Bodegraven
1903,Eijsden-Margraten,Postbus 10,"6269ZG",Margraten
1904,Stichtse Vecht,Postbus 1212,"3600BE",Maarssen
1911,Hollands Kroon,Postbus 8,"1760AA",Anna Paulowna
1916,Leidschendam-Voorburg,Postbus 1005,"2260BA",Leidschendam
1924,Goeree-Overflakkee,Postbus 1,"3240AA",Middelharnis
1926,Pijnacker-Nootdorp,Postbus 1,"2640AA",Pijnacker
1930,Nissewaard,Postbus  25,"3200AA",Spijkenisse
1931,Krimpenerwaard,Postbus 51,"2820AB",Stolwijk
1940,De Fryske Marren,Postbus 101,"8500AC",Joure
1942,Gooise Meren,Postbus 6000,"1400HA",Bussum
1945,Berg en Dal,Postbus 20,"6560AA",Groesbeek
1948,Meierijstad,Postbus 10001,"5460DA",Veghel
1949,Waadhoeke,Postbus 58,"8800AB",Franeker
1952,Midden-Groningen,Postbus 75,"9600AB",Hoogezand
1954,Beekdaelen,Postbus 22000,"6360AA",Nuth
1955,Montferland,Postbus 47,"6940BA",Didam
1959,Altena,Postbus 5,"4286ZG",Almkerk
1960,West Betuwe,Postbus 112,"4190CC",Geldermalsen
1961,Vijfheerenlanden,Postbus 11,"4140AA",Leerdam
1963,Hoeksche Waard,Postbus 2003,"3260EA",Oud-Beijerland
1966,Het Hogeland,Postbus 26,"9980AA",Uithuizen
1969,Westerkwartier,Postbus 100,"9350AC",Leek
1970,Noardeast-Fryslân,Postbus 13,"9290AA",Kollum
1978,Molenlanden,Postbus 5,"2970AA",Bleskensgraaf
1979,Eemsdelta,Postbus 15,"9900AA",Appingedam
1980,Dijk en Waard,Postbus 390,"1700AJ",Heerhugowaard
1982,Land van Cuijk,Postbus 7,"5360AA",Grave
1991,Maashorst,Postbus 83,"5400AB",Uden
1992,Voorne aan Zee,Postbus 13,"3220AA",Hellevoetsluis
1999,Registratie Niet-Ingezetenen (RNI),Postbus 10451,"2501HL",'s-Gravenhage
